                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.21129,                0.45053,                0.96058,                0.23109,                0.46118,                0.96772,                0.98734,                0.98401,                0.99435,                0.99392,                0.15963,                0.14855,                0.26205,                0.16389,                0.09042,                0.29256,              0.0001774,              0.0001774,              0.0001774
                     91,                0.20925,                0.45966,                0.95624,                0.23072,                0.46952,                0.96376,                0.99339,                0.99434,                0.99498,                0.99471,                0.14236,                0.12183,                0.22053,                0.14441,                0.07138,                0.24297,             0.00017658,             0.00017658,             0.00017658
                     92,                0.21118,                 0.4466,                0.96001,                0.23416,                 0.4495,                0.96883,                0.98828,                0.98982,                0.99458,                0.99368,                0.14914,                0.14452,                 0.2406,                0.16181,                0.09002,                 0.2712,             0.00017575,             0.00017575,             0.00017575
                     93,                 0.2116,                0.45158,                0.96145,                 0.2345,                0.45895,                0.96942,                0.99003,                0.98749,                0.99481,                0.99481,                0.13059,                0.13118,                0.20042,                0.13325,                0.07127,                0.21972,             0.00017493,             0.00017493,             0.00017493
                     94,                0.20457,                0.46148,                0.95639,                0.22296,                0.46448,                0.96352,                0.99429,                0.98747,                0.99471,                0.99471,                0.11223,                0.11998,                0.18779,                0.10115,                0.05882,                0.19386,              0.0001741,              0.0001741,              0.0001741
                     95,                0.20545,                0.43364,                0.95796,                 0.2285,                0.44691,                0.96697,                0.98896,                0.99281,                0.99488,                0.99485,                0.08999,                0.11454,                0.17538,                0.07672,                 0.0556,                0.17971,             0.00017327,             0.00017327,             0.00017327
                     96,                0.20515,                 0.4338,                0.95373,                0.22353,                 0.4389,                0.96101,                 0.9814,                0.98796,                0.99454,                0.99389,                  0.142,                0.14808,                0.22143,                0.13742,                0.08736,                0.23519,             0.00017245,             0.00017245,             0.00017245
                     97,                0.19679,                0.42775,                0.95011,                0.21615,                0.43389,                 0.9573,                0.96221,                0.96185,                0.99287,                 0.9927,                0.09832,                0.11943,                0.18775,                 0.1017,                0.13059,                0.21643,             0.00017163,             0.00017163,             0.00017163
                     98,                0.20269,                0.42841,                0.95692,                0.22295,                0.43194,                0.96513,                0.97678,                0.96894,                0.98964,                0.98892,                0.09579,                0.16474,                0.19985,                0.09619,                0.14018,                0.21908,              0.0001708,              0.0001708,              0.0001708
                     99,                0.20552,                0.43727,                0.95501,                0.22612,                0.44367,                0.96296,                 0.9901,                0.98476,                0.99382,                0.99372,                0.10884,                0.12926,                0.18282,                0.10284,                0.08445,                0.18823,             0.00016998,             0.00016998,             0.00016998
                    100,                0.20258,                  0.424,                0.95252,                0.21925,                0.43017,                0.95913,                0.99098,                0.99477,                0.99496,                0.99493,                0.10179,                0.12448,                0.17727,                0.10033,                0.06032,                 0.1832,             0.00016915,             0.00016915,             0.00016915
                    101,                0.20235,                0.41461,                 0.9559,                 0.2197,                0.41249,                0.96331,                0.98529,                 0.9876,                0.99485,                0.99476,                0.12516,                0.11954,                0.20031,                0.12757,                 0.0809,                0.21361,             0.00016832,             0.00016832,             0.00016832
                    102,                0.21793,                0.44024,                0.96271,                0.23719,                0.44821,                0.96917,                0.98315,                0.98584,                0.99392,                0.99309,                0.11335,                0.13679,                0.20349,                0.11655,                0.07936,                0.21582,              0.0001675,              0.0001675,              0.0001675
                    103,                0.20245,                0.41705,                0.94921,                0.21983,                0.42486,                0.95613,                  0.971,                0.96517,                0.98887,                0.98809,                0.09963,                0.12623,                0.19386,                0.09979,                0.12251,                0.21119,             0.00016667,             0.00016667,             0.00016667
                    104,                0.20351,                 0.4341,                0.95609,                0.22456,                0.44829,                0.96385,                0.99281,                0.98492,                0.99462,                0.99447,                 0.0987,                0.11198,                0.17374,                0.10045,                0.06998,                0.19144,             0.00016585,             0.00016585,             0.00016585
                    105,                0.19954,                0.42662,                0.96032,                0.21769,                0.43333,                 0.9674,                0.99167,                0.98934,                0.99482,                0.99471,                0.10435,                   0.12,                0.18765,                0.08853,                0.06917,                0.18136,             0.00016503,             0.00016503,             0.00016503
                    106,                0.20022,                0.41393,                0.95545,                0.22053,                0.42341,                0.96295,                0.99089,                0.98098,                0.99395,                0.99394,                0.15124,                0.15737,                0.23116,                0.13425,                 0.0902,                0.23585,              0.0001642,              0.0001642,              0.0001642
                    107,                0.20831,                0.42311,                0.95306,                0.22685,                 0.4267,                 0.9596,                0.98825,                0.98432,                0.99469,                0.99447,                0.10487,                0.12013,                0.19091,                 0.1004,                0.07636,                0.19569,             0.00016338,             0.00016338,             0.00016338
