                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.84263,                0.79464,                 1.2458,                0.90677,                0.97754,                 1.2752,                0.92333,                0.87842,                0.93791,                0.71515,                 1.0542,                0.57364,                 1.3866,                 1.0743,                0.60838,                 1.4113,             0.00026267,             0.00026267,             0.00026267
                     67,                0.82469,                0.76615,                 1.2226,                0.89199,                  0.942,                 1.2524,                0.89611,                0.89206,                0.94587,                0.72696,                 1.0587,                0.60078,                 1.3596,                  1.085,                0.62714,                 1.3853,             0.00026157,             0.00026157,             0.00026157
                     68,                 0.8221,                0.78657,                 1.2267,                0.89226,                0.98241,                  1.262,                0.87531,                0.84769,                0.91344,                0.69039,                 1.0712,                0.62822,                 1.3875,                  1.105,                0.71279,                 1.4256,             0.00026047,             0.00026047,             0.00026047
                     69,                0.83182,                0.78411,                 1.2342,                0.88633,                0.97671,                 1.2637,                0.87661,                0.84386,                0.89969,                0.64181,                 1.1961,                0.61194,                 1.5028,                  1.219,                0.67299,                 1.5407,             0.00025937,             0.00025937,             0.00025937
                     70,                0.80422,                0.73758,                 1.2227,                 0.8722,                0.91341,                 1.2532,                0.92656,                0.83692,                0.95132,                0.73474,                 0.9954,                0.58294,                 1.3186,                 0.9986,                0.55264,                 1.3319,             0.00025827,             0.00025827,             0.00025827
                     71,                0.81051,                0.73768,                 1.2256,                0.88009,                0.93422,                 1.2585,                0.87603,                0.83402,                0.92755,                0.71353,                 1.0315,                0.59403,                 1.3209,                 1.0429,                0.67047,                  1.355,             0.00025718,             0.00025718,             0.00025718
                     72,                0.81445,                0.75063,                 1.2209,                0.89038,                 0.9485,                 1.2567,                 0.9191,                0.85687,                0.94328,                0.74158,                0.97868,                0.55926,                 1.2962,                0.97266,                0.60256,                 1.2937,             0.00025608,             0.00025608,             0.00025608
                     73,                0.81043,                0.75084,                 1.2183,                0.87596,                0.92242,                 1.2509,                0.82701,                0.89547,                0.94368,                0.72062,                 1.0882,                0.59519,                 1.4121,                   1.07,                0.62552,                 1.3905,             0.00025498,             0.00025498,             0.00025498
                     74,                0.80229,                0.74628,                 1.2173,                0.87177,                0.92453,                 1.2534,                0.89704,                0.82868,                0.93432,                0.68465,                 1.1886,                0.57981,                 1.4962,                  1.208,                0.64663,                 1.5066,             0.00025388,             0.00025388,             0.00025388
                     75,                0.79768,                0.74209,                 1.2158,                0.86939,                0.91997,                 1.2504,                0.87804,                0.82633,                0.91569,                0.72285,                  0.978,                0.61377,                 1.3126,                0.97931,                0.66489,                 1.3169,             0.00025278,             0.00025278,             0.00025278
                     76,                0.80441,                0.75856,                 1.2212,                0.87872,                0.94383,                 1.2526,                0.84729,                0.84954,                0.92605,                0.71509,                 1.0556,                0.61587,                 1.3571,                 1.0729,                0.69231,                 1.3908,             0.00025168,             0.00025168,             0.00025168
