epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,39759.5,0.66505,0.85074,1.1947,0.94416,0.87023,0.96239,0.754,0.92702,0.67271,1.35194,7.225e-05,7.225e-05,7.225e-05
81,40046.8,0.68635,0.86551,1.2088,0.92739,0.88216,0.96307,0.75895,0.91459,0.64477,1.36525,7e-05,7e-05,7e-05
82,40336.4,0.68914,0.85153,1.21219,0.92866,0.86634,0.95509,0.76173,0.87354,0.65347,1.30495,6.775e-05,6.775e-05,6.775e-05
83,40622.4,0.68164,0.85061,1.20044,0.90777,0.8991,0.95863,0.7667,0.89472,0.64531,1.32308,6.55e-05,6.55e-05,6.55e-05
84,40908.9,0.66289,0.82298,1.18877,0.91184,0.88748,0.96225,0.79542,0.77504,0.64894,1.19515,6.325e-05,6.325e-05,6.325e-05
85,41195.1,0.67463,0.84737,1.1958,0.94329,0.88767,0.96354,0.76823,0.91352,0.64605,1.33212,6.1e-05,6.1e-05,6.1e-05
86,41481.7,0.65343,0.8169,1.17553,0.91709,0.90758,0.971,0.78583,0.84709,0.61839,1.26402,5.875e-05,5.875e-05,5.875e-05
87,41768.6,0.68091,0.84206,1.19872,0.93734,0.89885,0.96073,0.76649,0.8954,0.62073,1.31949,5.65e-05,5.65e-05,5.65e-05
88,42056.4,0.66111,0.82609,1.18803,0.92401,0.90868,0.96893,0.79464,0.81272,0.60423,1.24535,5.425e-05,5.425e-05,5.425e-05
89,42341.7,0.6529,0.81618,1.17937,0.94944,0.88121,0.96855,0.78286,0.85851,0.61435,1.28461,5.2e-05,5.2e-05,5.2e-05
90,42631.1,0.65028,0.79606,1.17222,0.92213,0.88349,0.96256,0.79949,0.77873,0.61783,1.22021,4.975e-05,4.975e-05,4.975e-05
91,42913,0.44252,0.38675,1.04919,0.91327,0.90229,0.9637,0.77013,0.88725,0.61934,1.32749,4.75e-05,4.75e-05,4.75e-05
92,43194.7,0.44546,0.3828,1.05089,0.93515,0.8921,0.96466,0.80256,0.78487,0.62168,1.22418,4.525e-05,4.525e-05,4.525e-05
93,43475.4,0.42892,0.3743,1.04637,0.93911,0.86364,0.95944,0.80228,0.77064,0.61703,1.20725,4.3e-05,4.3e-05,4.3e-05
94,43757.1,0.43641,0.3742,1.04418,0.90574,0.90196,0.95944,0.78162,0.82193,0.62915,1.26498,4.075e-05,4.075e-05,4.075e-05
95,44042.7,0.43366,0.37338,1.04449,0.94888,0.86463,0.95398,0.80549,0.73348,0.62453,1.18147,3.85e-05,3.85e-05,3.85e-05
96,44344,0.43567,0.3676,1.03282,0.91594,0.89091,0.96188,0.77752,0.84325,0.63604,1.29136,3.625e-05,3.625e-05,3.625e-05
97,44625.1,0.42855,0.36605,1.03849,0.91081,0.88457,0.95656,0.79032,0.7922,0.64528,1.23302,3.4e-05,3.4e-05,3.4e-05
98,44902.9,0.414,0.36086,1.0246,0.91676,0.89357,0.96424,0.78944,0.8317,0.61719,1.27608,3.175e-05,3.175e-05,3.175e-05
99,45181.1,0.41378,0.35573,1.02252,0.91576,0.9039,0.95491,0.77843,0.81989,0.61479,1.27059,2.95e-05,2.95e-05,2.95e-05
100,45459.3,0.41906,0.35125,1.02143,0.94736,0.87223,0.96123,0.79312,0.77858,0.6144,1.22274,2.725e-05,2.725e-05,2.725e-05
